IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
91.107.251.113,4,4,0.00,187.71,3.26,FRA,443
192.3.251.89,4,4,0.00,182.45,3.19,SEA,443
23.94.43.51,4,4,0.00,178.87,3.13,SEA,443
52.171.134.116,4,4,0.00,210.32,3.05,DFW,443
194.246.82.213,4,4,0.00,241.91,2.98,AMS,443
35.212.160.116,4,4,0.00,206.99,2.96,SEA,443
58.176.95.46,4,4,0.00,68.99,2.85,HKG,443
23.94.233.164,4,4,0.00,157.14,2.83,SJC,443
45.76.111.190,4,4,0.00,163.04,2.82,NRT,443
23.95.132.60,4,4,0.00,211.26,2.79,BUF,443
50.62.172.46,4,2,0.50,161.56,2.78,SJC,443
64.176.210.187,4,4,0.00,220.48,2.72,EWR,443
8.220.134.136,4,4,0.00,239.50,2.60,SIN,443
38.180.133.83,4,4,0.00,196.61,2.58,AMS,443
192.210.133.140,4,4,0.00,216.75,2.57,BUF,443
38.89.86.82,4,4,0.00,227.52,2.41,EWR,443
132.145.232.171,4,4,0.00,173.88,2.40,FRA,443
188.164.248.131,4,4,0.00,61.94,2.40,SIN,443
89.110.120.197,4,4,0.00,256.41,2.38,AMS,443
159.138.1.166,4,4,0.00,166.34,2.30,HKG,443
192.3.155.203,4,4,0.00,219.09,2.28,BUF,443
192.206.179.85,4,3,0.25,161.86,2.25,SJC,443
188.164.248.139,4,4,0.00,59.03,2.23,SIN,443
95.85.93.180,4,4,0.00,220.62,2.21,IAD,443
192.227.180.25,4,4,0.00,230.40,2.05,BUF,443
159.138.138.87,4,1,0.75,176.78,2.05,HKG,443
50.62.172.28,4,3,0.25,152.38,1.90,SJC,443
50.62.172.22,4,3,0.25,153.52,1.67,SJC,443
207.246.86.93,4,4,0.00,229.88,1.64,EWR,443
45.77.35.218,4,4,0.00,349.67,1.61,SIN,443
50.62.172.2,4,3,0.25,149.75,1.61,SJC,443
50.62.172.48,4,4,0.00,160.65,1.57,SJC,443
206.166.251.92,4,3,0.25,243.11,1.55,DUS,443
89.169.13.242,4,4,0.00,253.31,1.46,FRA,443
50.62.172.33,4,4,0.00,155.20,1.41,SJC,443
213.166.71.40,4,3,0.25,186.26,1.39,AMS,443
129.146.46.164,4,4,0.00,194.58,1.38,LAX,443
154.31.114.136,4,2,0.50,125.88,1.37,NRT,443
38.89.80.162,4,4,0.00,226.25,1.35,EWR,443
116.203.58.165,4,4,0.00,180.96,1.34,FRA,443
2.58.104.10,4,3,0.25,150.91,1.33,SJC,443
172.245.226.156,4,3,0.25,198.11,1.28,DFW,443
143.198.171.62,4,4,0.00,232.37,1.26,EWR,443
91.149.239.64,4,3,0.25,168.13,1.22,LAX,443
168.138.165.174,4,4,0.00,351.11,1.22,SIN,443
45.76.12.227,4,4,0.00,226.00,1.21,EWR,443
152.67.125.174,4,4,0.00,303.06,1.19,SYD,443
65.75.221.130,4,4,0.00,149.83,1.16,SJC,443
209.46.30.84,4,4,0.00,161.68,1.13,SJC,443
50.62.172.36,4,3,0.25,154.75,1.11,SJC,443
139.224.43.79,4,4,0.00,40.30,1.09,NRT,443
207.246.94.121,4,4,0.00,227.48,1.08,EWR,443
45.32.210.244,4,4,0.00,216.96,1.06,ATL,443
